level,word,pronounciation,meaning,Example
Level 3,ogre,oh-guh,"noun: an imaginary monster in stories, often one which likes to eat people",I wasn't too worried when I read about the ogre taking off with the princess as I know fairytales always end happily.
Level 3,operator,op-uh-ray-tuh,noun: someone who works a machine,We had to use the stairs until the operator could come out and fix the lift.
Level 3,ordinary,aw-duhn-ree,adjective: usual or normal,Emily didn't have any news because she had had a very ordinary day.
Level 3,ostrich,os-trich,"noun: a large bird with long legs, that lives in Africa","An ostrich can run fast, but it cannot fly."
Level 3,pagoda,puh-goh-duh,noun: a sacred building or temple shaped like a tower and usually found in Asian countries,"During our trip to Japan, we visited a pagoda in the hills near Kyoto."
Level 3,pancreas,pang-kree-uhs,noun: a gland near the stomach which produces important hormones and helps digestion,She had to have an operation on her pancreas.
Level 3,pandemic,pan-dem-ik,"adjective: of a disease, widespread throughout an entire country or the whole world",Doctors were worried that the current strain of influenza could become pandemic.
Level 3,paradise,pa-ruh-duys,noun: a place of great beauty or pleasure,His idea of paradise was a deserted beach with great surf.
Level 3,parasite,pa-ruh-suyt,"noun: an animal or plant which lives on or in another, from which it obtains its food",The tick is a parasite which is particularly dangerous to dogs and cats.
Level 3,pathetic,puh-thet-ik,adjective: of poor quality,Ms Cook thought that my excuse for not finishing my homework was pathetic.
Level 3,patience,pay-shuhns,noun: calmness while waiting,The waiting passengers were asked to have patience for a little longer.
Level 3,penguin,peng-gwuhn,"noun: a bird which cannot fly, has webbed feet and lives in or near the cold southern parts of the world",Visiting a penguin colony in Antarctica is something not many people have experienced.
Level 3,persuade,puh-swayd,"verb: to cause to do or believe something by advice, argument or influence",I tried to persuade my friends to come to the beach with me.
Level 3,pertinent,per-tuh-nuhnt,adjective: having to do with the matter being discussed or thought about,The student asked their teacher a pertinent question.
Level 3,perturbed,puh-terbd,adjective: worried or disturbed,Mum seemed a bit perturbed by my sudden interest in snakes.
Level 3,photograph,foh-tuh-graf or foh-tuh-grahf,noun: a picture you take with a camera,My sister put a special ribbon in her hair for the school photograph.
Level 3,pilgrim,pil-gruhm,noun: someone who makes a long journey to visit a holy place,The pilgrim travelled for three weeks to reach Jerusalem.
Level 3,platoon,pluh-toohn,noun: a group or unit of soldiers,Each platoon was made up of sixteen soldiers.
Level 3,plausible,plawz-uh-buhl,adjective: believable or reasonable,They didn't think her story about being sick was plausible because she looked so well.
Level 3,podiatry,puh-duy-uh-tree,noun: the investigation and treatment of foot disorders,His fascination with feet led him to practise podiatry.
Level 3,poison,poy-zuhn,noun: a substance which causes death or illness if you swallow it or absorb it,The law requires that bottles of poison have childproof lids.
Level 3,political,puh-lit-i-kuhl,adjective: having or trying to gain power in government or public affairs,The decision that was taken was purely a political one -- with no thought for the future implications.
Level 3,pollinate,pol-uh-nayt,verb: to shed pollen on the flower of a plant which enables fertilisation,Only the pollen from a sweet pea can be used to pollinate another sweet pea.
Level 3,polyester,pol-ee-ess-tuh,noun: a synthetic material,These sheets are made of a mixture of polyester and cotton.
Level 3,pompous,pom-puhs,adjective: marked by a showy display of importance or rank,No-one voted for him because they thought he was both pompous and ignorant.
Level 3,precede,pree-seed,verb: to go or come before,A guard of police on motorcycles will precede the president's car and another group will follow.
Level 3,premature,prem-uh-tyooh-uh or prem-uh-chuh,adjective: occurring too soon,It was premature to open a bank account before I had any money.
Level 3,premier,prem-ee-uh,noun: the leader of a state government in Australia,"After the election, our state had a new premier."
Level 3,presume,pruh-zyoohm,"verb: to believe something to be true because it seems obvious, even though you might not be certain","‘I presume you want something to eat’, said my mum."
Level 3,probable,prob-uh-buhl,adjective: likely to happen or be true,Those dark clouds suggest that rain is probable.
Level 3,problematic,prob-luh-mat-ik,adjective: difficult or doubtful,Trying to find the right key to open the door was proving to be problematic.
Level 3,promotion,pruh-moh-shuhn,noun: advancement in rank or position,She was rewarded for all of her hard work with a promotion.
Level 3,propagate,prop-uh-gayt,verb: to grow from seeds or cuttings,My grandfather is using the internet to learn how to propagate orchids.
Level 3,proportion,pruh-paw-shuhn,"noun: the relation or comparison of one thing to another according to its size, number, and so on",There is a larger proportion of boys enrolled in cooking classes this year than in the past.
Level 3,protocol,proh-tuh-kol,noun: the rules of behaviour and ceremony used on official occasions,"If you are going to attend the official banquet, you will have to follow the proper protocol."
Level 3,provision,pruh-vizh-uhn,noun: an arrangement made beforehand,I really wish we'd made provision for rain ahead of our camping trip.
Level 3,proximity,prok-sim-uh-tee,"noun: nearness in place, time and so on",Proximity of schools to public transport is very important.
Level 3,pungent,pun-juhnt,adjective: having a sharp taste or smell,The pungent odour of the acid hurt my nostrils.
Level 3,pursuit,puh-syooht,noun: the act of chasing,"In pursuit of the bandits, they became lost in the forest."
Level 3,qualified,kwol-uh-fuyd,adjective: having accomplishments which fit a person for some job or position,She was upset when she was told she was too qualified for the job.
Level 3,quell,kwel,verb: to stop or calm,"If I'm feeling seasick, looking at the horizon is the quickest way to quell the nausea."
Level 3,quibble,kwib-uhl,verb: to argue over things that do not matter,The twins used to quibble over whose turn it was to clear the table.
Level 3,rampant,ram-puhnt,adjective: happening widely in an uncontrolled way,Extra police are needed in that area because crime is rampant there.
Level 3,ramshackle,ram-shak-uhl,adjective: shaky or likely to collapse,We found the ramshackle ruins of an old gold mine on our hike.
Level 3,receive,ruh-seev,verb: to get or be given something,We are hoping to receive our new badges today.
Level 3,recuperate,ruh-kooh-puh-rayt,verb: to recover from sickness or exhaustion,It did not take her long to recuperate from the virus because she was so fit.
Level 3,reference,ref-ruhns,noun: a letter giving a description of someone's character and abilities,She was chosen for the job because her previous employer had given her such a good reference.
Level 3,reindeer,rayn-dear,noun: a kind of deer with large antlers,The reindeer lives in the cold northern areas of the world.
Level 3,resonate,rez-uh-nayt,verb: to ring or resound,You could hear the bells resonate from the church some distance away.
Level 3,responsible,ruh-spon-suh-buhl,adjective: capable of rational thought or action,The teacher always asks Charlotte to do the hard jobs because she is so responsible.
Level 3,reunion,ree-yoohn-yuhn,"noun: a special meeting, usually of a family, or of people who have not seen each other for a long time",Many people have a high-school reunion ten years after they graduate.
Level 3,rummage,rum-ij,"verb: to search thoroughly or actively through a bag, place, and so on",She had to rummage through her bag for her lost keys.
Level 3,scorpion,skaw-pee-uhn,"noun: a small, hard-shelled animal with a long, narrow tail that ends in a poisonous sting",A scorpion sting is painful but rarely deadly.
Level 3,semester,suh-mes-tuh,"noun: in educational institutions, one of the two divisions of the teaching year",She was looking forward to the subjects she would be doing in the second semester.
Level 3,shroud,shrowd,noun: something which covers and hides like a cloth,A shroud of secrecy hung over the real facts of the story.
Level 3,signature,sig-nuh-chuh,noun: the way you write your own name,The contract is not valid until it includes the director's signature.
Level 3,skeleton,skel-uh-tuhn,"noun: all the bones of a human or animal body, connected together",The most interesting thing in the museum was the dinosaur skeleton.
Level 3,sluggish,slug-ish,adjective: moving slowly with no energy,The lack of sleep left her feeling sluggish.
Level 3,squawk,skwawk,verb: to make a loud unpleasant cry,The smaller birds started to squawk when they saw the crows.
Level 3,squelch,skwelch,"verb: to crush down, or squash",I used a rolling pin to squelch the figs into a soft mess.
Level 3,squirrel,skwi-ruhl,"noun: a bushy-tailed animal found in Europe, Asia, and North America, which lives in trees and stores nuts",The squirrel is regarded as a pest in many parts of the world.
Level 3,sumptuous,sump-chooh-uhs,adjective: rich and luxurious,She was soon bored of the sumptuous hotel and just wanted to go back to the farm.
Level 3,sympathy,sim-puh-thee,"noun: a feeling shared with someone else, especially in sorrow or trouble",They showed their sympathy by taking her a card they had made themselves.
Level 3,tangent,tan-juhnt,noun: a sudden new direction,"The conversation went off at a tangent, so I didn't get around to asking how the house got its name."
Level 3,tangible,tan-juh-buhl,"adjective: having a real, physical existence, not just existing as an idea",The tangible results of the new health policy are the two new hospitals.
Level 3,tedious,tee-dee-uhs,adjective: long and boring,We spent a very tedious afternoon catching up on our maths homework.
Level 3,tuition,tyooh-ish-uhn,noun: teaching,I would benefit from some extra tuition in maths.
Level 3,uninspired,un-in-spuy-uhd,adjective: lacking imagination or creative spirit,I found the plot of the movie uninspired and predictable.
Level 3,antihero,an-tee-hear-roh,noun: a central character who does not possess the traditional heroic virtues or characteristics,The main character was a lonely antihero who constantly took advantage of other people.
Level 3,ballad,bal-uhd,"noun: a simple poem with short verses, which tells a story and is often turned into a song",Most people find that a ballad is the easiest type of song to sing.
Level 3,Brahms,brahmz,noun: a German composer who was born in 1833 and died in 1897,"Brahms composed many works, but he never wrote an opera."
Level 3,cameo,kam-ee-oh,noun: a short appearance in a film by a celebrity,The prime minister has a tiny cameo in the new film -- blink and you'll miss her!
Level 3,genre,zhon-ruh,"noun: the category to which a piece of writing, music, film or art belongs",Poetry is a genre of literature.
Level 3,handicraft,han-dee-krahft,noun: an occupation or art in which you use your hands,Pottery is a popular handicraft.
Level 3,harmonica,hah-mon-ik-uh,"noun: a small wind instrument with metal reeds, which you play by blowing",He pulled the harmonica from his pocket and played a tune while he waited for the bus.
Level 3,journal,jer-nuhl,"noun: a book where you can write down things that have happened, or your thoughts or feelings",I like to write in my journal every night before I go to sleep.
Level 3,language,lang-gwij,noun: the arrangement of words and sounds used to communicate between people of a particular country,"Because she was born near the border of France and Germany, she speaks more than one language."
Level 3,lyrics,li-riks,noun: the words of a song,Can you remember the lyrics of that song we heard last night?
Level 3,melody,mel-uh-dee,noun: a tune,That new advertising jingle has a catchy melody.
Level 3,minim,min-uhm,noun: a note in music equal to half a semibreve in length,My music teacher gets cross because I always forget how long a minim is -- I always play it too long.
Level 3,museum,myooh-zee-uhm,noun: a place where rare and interesting things are displayed,Our class visited the museum to see the exhibition of dinosaur bones.
Level 3,octave,ok-tiv or ok-tayv,noun: a series of eight notes between two musical notes of the same name but different pitch,Chan played an octave on the clarinet to warm up.
Level 3,pianist,pee-uh-nuhst,noun: someone who plays the piano,I dream of being a famous pianist but at the moment I can only manage to play Chopsticks.
Level 3,quill,kwil,"noun: a feather, as of a goose, formed into a pen for writing","It is a real challenge to write with a quill and ink, but that's how everyone used to do it."
Level 3,rehearse,ruh-herce,verb: to practise in private before giving a public performance,Our school choir has to rehearse for the concert every afternoon.
Level 3,replica,rep-lik-uh,"noun: a copy or reproduction, especially of a work of art",Egyptian authorities have unveiled a replica of Tutankhamen's tomb in an effort to preserve the original.
Level 3,satire,sat-uy-uh,noun: a literary composition in which someone's failings are ridiculed,The play was a satire that poked fun at the government.
Level 3,serenade,se-ruh-nayd,noun: music traditionally played or sung by a lover under their loved one's window at night,The prince wooed the maiden with a serenade he had composed himself.
Level 3,serial,sear-ree-uhl,noun: a story that is published or broadcast regularly in separate parts,We wanted to get home to watch the next part of our favourite serial.
Level 3,simulcast,sim-uhl-kahst or suym-uhl-kahst,noun: a program broadcast on both television and radio at the same time,The concert was to be presented as a live simulcast on television and radio.
Level 3,texture,teks-chuh,noun: the roughness or smoothness of a material,"Silk has a smooth texture, while canvas is rough."
Level 3,tragedy,traj-uh-dee,noun: a sad or serious play with an unhappy ending,The performance of Shakespeare's tragedy `Hamlet' kept the audience riveted.
Level 3,trilogy,tril-uh-jee,"noun: a series of three related works, such as novels or plays",The first book of the dragon trilogy is set to become a movie next year.
Level 3,Vivaldi,vuh-val-dee,"noun: an Italian composer and violinist, who was born around 1680 and died in 1741",The best known work of Vivaldi is a series of violin concertos known as `The Four Seasons'.
Level 3,appetite,ap-uh-tuyt,noun: the desire for food,Your appetite is always good after you go hiking in the bush.
Level 3,artichoke,ah-tuh-chohk,"noun: a thick, round flower which grows on a thistle-like plant and is used as a vegetable","The artichoke looks quite strange, but it is really quite tasty."
Level 3,casserole,kass-uh-rohl,"noun: a dish, usually a mixture of meat and vegetables, cooked in a covered baking dish",A piping hot casserole is delicious on a cold night.
Level 3,cereal,sear-ree-uhl,"noun: a food made from grain, especially the food you eat in the morning with milk",We always have to eat our cereal before we go to school.
Level 3,chocolate,chok-uh-luht,"noun: a sweet food made from the seeds of a small, tropical American tree",I love the taste of chocolate but I get sick if I eat too much.
Level 3,chopsticks,chop-stiks,"plural noun: a pair of thin, smooth sticks, used to pick up food, especially Asian food, when you are eating",The waiter brought us forks as well as chopsticks in case we didn't know how to use them.
Level 3,congeal,kuhn-jeel,verb: to thicken or become solid,I must remember to wash up the frying pan before the fat has a chance to congeal.
Level 3,coriander,ko-ree-an-duh,"noun: a small plant with strong-smelling, seedlike fruit, often used in cooking",Coriander is an essential ingredient for Thai cooking.
Level 3,crockery,krok-uh-ree,"noun: cups, plates, dishes and similar articles made of china or pottery",The waiter was fired after breaking most of the crockery.
Level 3,delicious,duh-lish-uhs,adjective: very pleasing to taste,We couldn't stop eating the delicious peaches.
Level 3,gourmet,gaw-may,noun: someone who knows a lot about good food and drink,Lucas thinks of himself as a gourmet and likes to talk at length about food.
Level 3,kitchen,kich-uhn,noun: the room or place where food is cooked and prepared,"After we finished making the toffee, the kitchen was a bit of a mess."
Level 3,lamington,lam-ing-tuhn,noun: a square of sponge cake covered with chocolate icing and grated coconut,I sneezed and the coconut from my lamington went everywhere.
Level 3,legume,leg-yoohm,"noun: any of a family of flowering plants which have pods as fruits, such as peas, beans, and so on",The legume family includes vegetables such as peas and beans.
Level 3,margarine,mah-juh-reen,noun: a butter-like spread made from vegetable oil,I much prefer butter to margarine.
Level 3,porridge,po-rij,"noun: oats cooked with water or milk, often eaten for breakfast","In the winter, porridge with brown sugar on top is my favourite breakfast."
Level 3,punnet,pun-uht,"noun: a small, shallow box or basket for small fruits, especially berries",She needed to buy a punnet of strawberries to use for the pavlova topping.
Level 3,quaff,kwof,verb: to drink something quickly,"When we get home from our bushwalk, we're going to quaff lots of cold water."
Level 3,salmon,sam-uhn,noun: a large fish with pink flesh,We cooked a whole salmon in the smoker.
Level 3,vanilla,vuh-nil-uh,"noun: a liquid made from a plant, used to flavour food",I added some vanilla to the icing to make it even sweeter.
Level 3,vegetable,vej-tuh-buhl,noun: any plant of which the whole or a part is used as food,Broccoli is my favourite vegetable.
Level 3,vitamin,vuy-tuh-muhn or vit-uh-muhn,"noun: any of a number of substances present naturally in food, and necessary in small quantities for good health",Citrus and kiwifruit are good sources of vitamin C.
Level 3,watermelon,waw-tuh-mel-uhn,noun: a large melon with green skin and dark pink flesh,It's refreshing to eat watermelon slices on a hot day.
Level 3,abyss,uh-biss,noun: a hole or space that is too deep to measure,The hikers inched nervously along the edge of the abyss.
Level 3,atmosphere,at-muhs-fear,noun: the air that surrounds the earth,Volcanoes release poisonous gases into the atmosphere when they erupt.
Level 3,Austria,os-tree-uh,"noun: a republic in central Europe, containing part of the Alps and the Danube basin",Austria is a landlocked country in central Europe.
Level 3,billabong,bil-uh-bong,noun: a waterhole which used to be part of a river,We pitched our tent beside the billabong.
Level 3,Cairo,kuy-roh,"noun: the capital of Egypt, in the northern part, on the eastern bank of the Nile",The city of Cairo lies along the river Nile.
Level 3,continent,kon-tuh-nuhnt,noun: one of the main land masses of the world,It's hard to believe that Australia is the smallest continent because it's such a large country.
Level 3,Daintree,dayn-tree,noun: a coastal river and rainforest area in north-eastern Queensland,Many rare and endangered animals live in the Daintree.
Level 3,drought,drowt,noun: a long period of dry weather,The drought had lasted for months and there was no food left for the livestock.
Level 3,Europe,yooh-ruhp,noun: a continent in the Northern Hemisphere forming the western part of the Eurasian landmass,My brother's currently backpacking through Europe -- I'm so jealous.
Level 3,floe,floh,noun: a large area of ice floating on the sea,A piece of ice had broken away from the floe and was drifting towards our boat.
Level 3,geology,jee-ol-uh-jee,noun: the study of the rocks which form the earth,I would like to study geology to know more about rocks.
Level 3,glacier,glay-see-uh gla-see-uh,noun: a river of ice which moves very slowly down a mountain,The glacier has receded dramatically in the last decade because temperatures have increased.
Level 3,horizon,huh-ruy-zuhn,noun: the line where the earth or sea appears to meet the sky,There was nothing but red soil as far as the horizon.
Level 3,isle,uyl,noun: a small island,"The word 'isle' is rather old-fashioned, but you still hear it in some placenames, like the Isle of Pines or the Isle of Wight."
Level 3,Kakadu,kak-uh-dooh or kak-uh-dooh,noun: an area in Arnhem Land in the Northern Territory,"When we were in the Northern Territory, we went camping in Kakadu National Park."
Level 3,loch,lok,"noun: a lake, especially in Scotland",The castle was built on the shore of a loch in the Scottish highlands.
Level 3,Mexico,mek-sik-oh,"noun: a federal republic in Central America bordered by the United States, Belize and Guatemala","The capital of Mexico is Mexico City, one of the world's most populous cities."
Level 3,monsoon,mon-soohn,noun: a season of strong winds and heavy rain in some southern Asian countries,We were in India during the monsoon and the weather was very wild and wet.
Level 3,ozone,oh-zohn,"noun: a form of oxygen with three atoms to the molecule, having a peculiar smell",The layer of ozone in the atmosphere protects us from the sun's radiation.
Level 3,rainforest,rayn-fo-ruhst,noun: thick forest in hot areas which have heavy rainfall,We saw lots of ferns and long hanging vines in the rainforest.
Level 3,universe,yooh-nuh-vers,noun: the whole of space and everything that exists in it,Scientists still don't know for sure how the universe was formed.
Level 3,volcano,vol-kay-noh,"noun: a mountain with an opening in the top, through which molten rock, steam and ash burst out when it erupts",Many people had to leave their homes when lava began flowing out of the volcano.
Level 3,abacus,ab-uh-kuhs,noun: a frame with rods through it which hold beads used for counting,The abacus was used as a calculation tool in ancient times.
Level 3,altitude,al-tuh-tyoohd,noun: height above sea level,The top of the mountain is at such a high altitude that it is above the clouds.
Level 3,antivirus,an-tee-vuy-ruhs,noun: a program designed to combat a computer virus by identifying and destroying it before it can damage the system,It's very important that you have an antivirus installed on your computer these days.
Level 3,astronaut,ass-truh-nawt,noun: someone specially trained to travel in a spaceship,The astronaut tried to repair the space shuttle's damaged landing gear.
Level 3,Curie,kyooh-ree,"noun: born in 1867 and died in 1934, was a Polish-born physicist and chemist in France","Not only was Marie Curie the first woman to be awarded the Nobel Prize, she won it twice."
Level 3,current,ku-ruhnt,noun: a movement or flow of electric charges,The electrician used a special meter to measure the current.
Level 3,decimal,dess-uh-muhl,adjective: relating to a number system based on the number ten,"Like most countries, Australia uses decimal currency."
Level 3,divisible,duh-viz-uh-buhl,adjective: able to be to separated into smaller parts,Twenty is divisible by ten.
Level 3,Einstein,uyn-stuyn,"noun: a physicist who was born in Germany in 1879 and died in 1955, who is most famous for formulating the theory of relativity",Albert Einstein won the Nobel prize for physics in 1921.
Level 3,formula,faw-myuh-luh,"noun: in chemistry, the representation of the atoms in a molecule by symbols",The chemical formula for common salt is NaCl.
Level 3,galaxy,gal-uhk-see,noun: any large group of stars held together by its own gravity and separated from any other system by large areas of space,The Milky Way is the closest galaxy that we can see from earth.
Level 3,hertz,hertz,noun: a unit used in the measurement of frequency,"Humans can only hear sounds between frequencies of 20 and 20,000 hertz."
Level 3,microscope,muy-kruh-skohp,noun: an instrument used for looking at extremely tiny things that you normally cannot see,We examined a mosquito under the microscope.
Level 3,nucleus,nyooh-klee-uhs,"noun: in biology, the central part of a living cell",When the doctor examined the blood under the microscope he found that the nucleus of each cell was damaged.
Level 3,polygon,pol-ee-gon,noun: a flat shape with many straight sides,A hexagon is one example of a polygon.
Level 3,prototype,proh-tuh-tuyp,noun: the original or the model of something which is later copied,The prototype of this racing car is in a motor museum.
Level 3,quadrant,kwod-ruhnt,noun: a quarter of a circle,We had to fill in each quadrant of the circle with a different colour.
Level 3,quadruple,kwod-rooh-puhl,verb: to multiply by four,Let's quadruple the amount of cake mixture!
Level 3,ratio,ray-shee-oh,noun: the relationship between two amounts or quantities expressed in the lowest possible whole numbers,The male--female ratio of students in our school is about 4 to 3.
Level 3,research,ruh-serch or ree-serch,noun: the process of studying something deeply and doing tests to find out more about it,"One day, medical research might discover a cure for colds."
Level 3,rhombus,rom-buhs,"noun: a shape with four equal sides, and angles that are not right angles",I have a kite that is in the shape of a rhombus.
Level 3,specimen,spess-uh-muhn,noun: a single thing or part taken as being typical of a whole group or mass,We found a very good starfish specimen in a shallow rock pool.
Level 3,acrobat,ak-ruh-bat,noun: someone who performs gymnastic tricks,The best act at the circus was the acrobat on the tightrope.
Level 3,activity,ak-tiv-uh-tee,"noun: something you do, especially something that involves lots of energy",Swimming is my favourite activity in summer.
Level 3,arena,uh-ree-nuh,noun: an enclosed space for sports events,The team were greeted by loud cheers as they ran into the arena.
Level 3,ballet,bal-ay,"noun: a formal type of dancing, where the dancers act out a story, using graceful and controlled movements","We are going to see my favourite ballet, ‘Swan Lake’, next week."
Level 3,celebrate,sel-uh-brayt,verb: to honour with ceremonies and festivities,Let's celebrate your birthday by going dancing.
Level 3,charades,shuh-raydz or shuh-rahdz,"noun: a game in which you act out a word or phrase, such as the title of a book or film, until people guess that word or phrase","When our family is on holidays, we play charades after dinner."
Level 3,competitor,kuhm-pet-uh-tuh,noun: someone who competes,"He was the only competitor not to fall down in the skating race, so he won!"
Level 3,cycling,suyk-ling,noun: the sport of riding a bicycle,Dad enjoys cycling early in the morning.
Level 3,exercise,eks-uh-suyz,noun: an activity of the body or mind to train or improve it,Walking in the fresh air is good exercise.
Level 3,festival,fest-uh-vuhl,noun: a celebration with performances of music and dance and other displays,Our town has an annual Christmas festival.
Level 3,forfeit,faw-fuht,"verb: to give something up, usually because you have broken a rule or made a mistake","Because we arrived late, we had to forfeit the game."
Level 3,frolic,frol-ik,noun: happy play,The puppies were having a frolic on the grass.
Level 3,hammock,ham-uhk,noun: a hanging bed made of canvas or net-like material,Dad hung up a hammock between two trees so that we could lie in the shade and read.
Level 3,hopscotch,hop-skoch,noun: a children's game in which the player hops from one square to another in a pattern of squares drawn on the ground,"We found a good, level place to play hopscotch."
Level 3,karate,kuh-rah-tee,"noun: a Japanese form of self-defence which uses only hands, elbows, feet and knees as weapons",It takes many years of training to attain a black belt in karate.
Level 3,lycra,luy-kruh,noun: a synthetic knitted fabric with great elasticity,The cyclist's outfit was made of lycra.
Level 3,meditate,med-uh-tayt,verb: to think long and deeply,You can meditate anywhere but it does help if it's not too noisy.
Level 3,medley,med-lee,"noun: a swimming race in which a competitor swims butterfly, backstroke, breaststroke and freestyle in that order",The medley is a hard race because you have to be good at all four swimming strokes.
Level 3,regatta,ruh-gat-uh,noun: a meeting for boat races,Our school won the rowing regatta last year.
Level 3,skateboard,skayt-bawd,"noun: a narrow, wooden board on rollerskate wheels, which you stand on to ride",I'm only allowed to ride my skateboard if I'm wearing my helmet.
Level 3,snorkel,snaw-kuhl,noun: a tube that lets you breathe fresh air as you swim with your face just under the water,We are taking our snorkel and flippers down to the beach.
Level 3,soccer,sok-uh,noun: a form of football played with a round ball which the players kick but in general are not allowed to touch with their hands or arms,I am very keen to play soccer this season.
Level 3,tranquil,trang-kwuhl,adjective: peaceful or quiet,It was a tranquil picnicking beside the river until the tractor arrived.
Level 4,alteration,awl-tuh-ray-shuhn,noun: the act of changing something or making it different,The kitchen needs some alteration to make room for the new fridge.
Level 4,ambulance,am-byuh-luhns,noun: a vehicle which is specially equipped to carry sick or injured people and which is driven by experts in first aid,An ambulance took her to hospital when she fell out of the tree and hurt her back.
Level 4,anticipate,an-tiss-uh-payt,verb: to expect something to happen,We anticipate that progress will continue at the current rate.
Level 4,application,ap-luh-kay-shuhn,noun: a request,We had to make an application to the council to build a new garage.
Level 4,apprehend,ap-ruh-hend,verb: to catch or arrest someone,The detective was clever to apprehend the villain.
Level 4,architect,ah-kuh-tekt,noun: someone whose job is to plan buildings,Rata loved the idea of designing houses and thought she would be an architect when she grew up.
Level 4,arguable,ah-gyooh-uh-buhl,adjective: able to be proved by argument,There is certainly an arguable case for wearing a crash helmet.
Level 4,artery,ah-tuh-ree,noun: a small tube inside your body that carries blood from your heart,My grandmother is having an operation to unblock an artery.
Level 4,arthritis,ah-thruy-tuhs,noun: a disease that causes swelling and pain in the joints of the body,My grandfather has difficulty writing because of his arthritis.
Level 4,ascent,uh-sent,noun: an upward movement,He made a difficult ascent of the mountain on his first attempt.
Level 4,askew,uhs-kyooh,adverb: out of position,I straightened my hat which had slipped askew.
Level 4,associate,uh-soh-see-ayt,"verb: to connect someone or something with a particular idea, feeling or memory",A lot of people associate the colour red with danger.
Level 4,attraction,uh-trak-shuhn,noun: the act or power of attracting,My sister couldn't see the attraction of playing in the mud.
Level 4,audible,aw-duh-buhl,adjective: loud enough to be heard,The phone connection was so bad that her voice was barely audible.
Level 4,authentic,aw-then-tik,adjective: real or genuine,We did not know if it was an authentic diamond or not.
Level 4,automobile,aw-tuh-muh-beel,noun: a car or other self-propelled road transport vehicle,Until I'm old enough to drive an automobile I have to walk everywhere or ask for a lift.
Level 4,aviator,ay-vee-ay-tuh,noun: a pilot,My great-grandfather was an aviator in the Second World War.
Level 4,bacteria,bak-teer-ree-uh,"plural noun: tiny living bodies with one cell, which multiply by dividing themselves in two and which can cause disease and decay",We must make sure we wash our hands to stop the spread of harmful bacteria.
Level 4,barrage,ba-rahzh or ba-rahj,noun: a long and strenuous verbal attack,The premier faced a barrage of questions from the press.
Level 4,beneficial,ben-uh-fish-uhl,adjective: helpful,We looked forward to the beneficial effects of a long holiday.
Level 4,besiege,buh-seej,verb: to surround or crowd round,The general's decision to besiege the town brought great hardship to the people.
Level 4,biased,buy-uhst,adjective: having or showing an unreasonable opinion based on personal prejudice,He's a very biased person who doesn't listen to other people's points of view.
Level 4,bilateral,buy-lat-ruhl,adjective: of or affecting two sides,The two countries signed a bilateral agreement.
Level 4,bilious,bil-ee-uhs,adjective: sickly or nauseating,The first thing we're going to do when we move in is to repaint the bilious mustard- coloured walls.
Level 4,biodiverse,buy-oh-duy-vers or buy-oh-duh-vers,"adjective: exhibiting a variety of species of plants, animals and microorganisms, their genes, and the ecosystems they comprise",The creek behind my house is a biodiverse region.
Level 4,blackcurrant,blak-ku-ruhnt,noun: a small black fruit which grows on a shrub,The stain the blackcurrant left was very hard to get out.
Level 4,botanical,buh-tan-i-kuhl,adjective: relating to plants or the study of plants,His botanical illustrations have been used in a book on Australian native plants.
Level 4,camellia,kuh-mee-lee-uh,"noun: one of several shrubs or trees with glossy evergreen leaves and white, pink, or red, waxy, roselike flowers",The camellia flowers best when planted in a semi-shaded area.
Level 4,cartridge,kah-trij,"noun: a container, such as that which holds ink for a pen or a printer",I have to buy another black cartridge for our printer.
Level 4,catalogue,kat-uh-log,"noun: a list, usually in alphabetical order, of names, books or items on sale or display and some information about them",We browsed through the catalogue of the pieces in the art exhibition.
Level 4,cathedral,kuh-thee-druhl,noun: a very big and important church,We could hear the sound of bells coming from the cathedral.
Level 4,census,sen-suhs,noun: an official recording of all the people who live in a place or country to gather information about them,The government conducts a census of the whole country every five years.
Level 4,centaur,sen-taw,"noun: a creature from Greek mythology, said to be half man and half horse",The Ancient Greek section of the museum had a statue of a centaur with the lower body of a horse and the upper body of a man.
Level 4,centenary,sen-teen-uh-ree or sen-ten-uh-ree,noun: a 100th anniversary,In 2001 we celebrated the centenary of Australia's Federation.
Level 4,ceremony,se-ruh-muh-nee or se-ruh-moh-nee,noun: a formal event performed to mark an important occasion,We watched the opening ceremony of the Olympic Games on television.
Level 4,circumvent,ser-kuhm-vent,verb: to get around or avoid,They chose to circumvent the problem rather than spend the time needed to solve it.
Level 4,compassion,kuhm-pash-uhn,noun: a feeling of sorrow or pity for someone,It was impossible not to feel compassion for the victims.
Level 4,competent,kom-puh-tuhnt,adjective: able or skilful,You have to be a competent swimmer to be a lifeguard.
Level 4,conclusion,kuhn-klooh-zhuhn or kuhng-klooh-zhuhn,"noun: the last main division of a speech, book, etc., containing a summing up of the points",The mystery wasn't solved until the conclusion of the book.
Level 4,congregation,kong-gruh-gay-shuhn,noun: an assembly of persons met for common religious worship,Some of the congregation stayed after the service to organise the upcoming fete.
Level 4,consecutive,kuhn-sek-yuh-tiv,adjective: following one after the other,The instructions were given in consecutive order.
Level 4,continuous,kuhn-tin-yooh-uhs,adjective: keeping on without stopping,I find the continuous roar of the surf relaxing.
Level 4,controversy,kon-truh-ver-see or kuhn-trov-uh-see,noun: an argument or difference of opinion,There was a lot of controversy over the art gallery's purchase of the abstract painting.
